,,
Lab Day,Lab Time (3hr),Lab Room
THU,8:00 AM,09F-27L
THU,11:00 AM,09E-21L
SUN,8:00 AM,12F-31L
TUE,11:00 AM,09F-25L
MON,11:00 AM,09F-26L
MON,2:00 PM,09F-25L
WED,11:00 AM,10G-33L
WED,2:00 PM,10G-33L
SAT,2:00 PM,09E-22L
MON,8:00 AM,FT10-01L
MON,8:00 AM,FT10-02L
SAT,2:00 PM,12B-20L
SAT,2:00 PM,12B-20L
THU,8:00 AM,FT10-01L
MON,8:00 AM,FT10-03L
WED,11:00 AM,FT10-03L
WED,11:00 AM,FT10-01L
THU,11:00 AM,FT10-03L
THU,11:00 AM,FT10-01L
SUN,2:00 PM,FT10-01L
SUN,2:00 PM,FT10-02L
SUN,8:00 AM,FT10-01L
MON,2:00 PM,FT10-01L
TUE,2:00 PM,12B-20L
TUE,2:00 PM,12B-20L
SUN,11:00 AM,FT10-03L
SUN,2:00 PM,FT10-03L
WED,8:00 AM,12B-20L
WED,8:00 AM,12B-20L
TUE,8:00 AM,FT10-01L
MON,11:00 AM,FT10-03L
TUE,2:00 PM,10G-33L
SAT,2:00 PM,10G-33L
THU,11:00 AM,10G-33L
SUN,2:00 PM,10G-33L
THU,11:00 AM,10G-33L
TUE,2:00 PM,10G-33L
SUN,2:00 PM,10G-33L
SAT,2:00 PM,10G-33L
WED,8:00 AM,10G-33L
WED,8:00 AM,12F-30L
WED,11:00 AM,12F-30L
TUE,8:00 AM,12F-31L
TUE,11:00 AM,12F-31L
TUE,2:00 PM,12F-31L
WED,2:00 PM,12F-30L
THU,8:00 AM,12F-30L
SUN,8:00 AM,12F-30L
THU,11:00 AM,12F-30L
THU,2:00 PM,12F-30L
THU,8:00 AM,12F-31L
SUN,11:00 AM,12F-30L
SUN,2:00 PM,12F-30L
SAT,8:00 AM,12F-30L
SAT,8:00 AM,12F-31L
SAT,11:00 AM,12F-31L
SAT,2:00 PM,12F-31L
MON,8:00 AM,12F-32L
MON,11:00 AM,12F-32L
MON,2:00 PM,12F-32L
MON,2:00 PM,09F-27L
TUE,11:00 AM,10G-33L
MON,2:00 PM,10E-27L
TUE,2:00 PM,FT11-04L
THU,2:00 PM,09E-21L
THU,2:00 PM,12F-32L
THU,2:00 PM,12F-32L
SAT,11:00 AM,12F-32L
SAT,11:00 AM,12F-32L
SAT,8:00 AM,12F-32L
SAT,8:00 AM,12F-32L
SUN,2:00 PM,12F-32L
SUN,2:00 PM,12F-32L
SUN,11:00 AM,12F-32L
SUN,11:00 AM,12F-32L
TUE,11:00 AM,12F-32L
TUE,11:00 AM,12F-32L
MON,8:00 AM,12F-31L
MON,8:00 AM,12F-31L
MON,11:00 AM,12F-31L
MON,11:00 AM,12F-31L
WED,11:00 AM,12F-31L
WED,11:00 AM,12F-31L
WED,8:00 AM,12F-32L
WED,8:00 AM,12F-32L
SAT,8:00 AM,09F-25L
SAT,8:00 AM,09F-25L
SAT,11:00 AM,09F-25L
THU,8:00 AM,09F-25L
THU,8:00 AM,09F-25L
THU,11:00 AM,09F-25L
TUE,2:00 PM,09F-25L
TUE,2:00 PM,09F-25L
SAT,11:00 AM,09F-25L
SUN,2:00 PM,10E-27L
SUN,2:00 PM,10E-27L
TUE,11:00 AM,09E-22L
TUE,11:00 AM,09E-22L
MON,11:00 AM,09E-22L
SUN,11:00 AM,10E-27L
SUN,11:00 AM,10E-27L
WED,11:00 AM,09F-25L
WED,11:00 AM,09F-25L
WED,2:00 PM,09F-25L
WED,2:00 PM,09F-25L
THU,11:00 AM,09F-25L
MON,2:00 PM,09E-22L
MON,2:00 PM,09E-22L
MON,11:00 AM,09E-22L
TUE,8:00 AM,09F-25L
TUE,8:00 AM,09F-25L
SUN,8:00 AM,10G-34L
SUN,11:00 AM,10G-34L
WED,2:00 PM,10G-34L
SUN,2:00 PM,09B-08L
MON,8:00 AM,10G-34L
MON,11:00 AM,10G-34L
MON,2:00 PM,10G-34L
WED,2:00 PM,09F-27L
THU,8:00 AM,10G-34L
THU,11:00 AM,10G-34L
THU,2:00 PM,10G-34L
TUE,8:00 AM,09F-27L
THU,2:00 PM,09F-26L
SUN,8:00 AM,10E-27L
SAT,8:00 AM,10G-34L
SAT,2:00 PM,10G-34L
TUE,11:00 AM,10G-34L
TUE,2:00 PM,10G-34L
SAT,11:00 AM,10G-34L
WED,8:00 AM,10G-34L
WED,11:00 AM,10G-34L
SAT,11:00 AM,09F-24L
SAT,11:00 AM,10G-32L
TUE,8:00 AM,10G-34L
THU,11:00 AM,09F-27L
SAT,8:00 AM,09F-24L
TUE,8:00 AM,10E-27L
TUE,8:00 AM,10E-27L
SAT,8:00 AM,10E-27L
SAT,8:00 AM,10E-27L
SAT,11:00 AM,10E-27L
SAT,11:00 AM,10E-27L
THU,8:00 AM,10E-27L
TUE,11:00 AM,10E-27L
TUE,11:00 AM,10E-27L
SUN,11:00 AM,12F-31L
SUN,11:00 AM,12F-31L
SUN,2:00 PM,12F-31L
THU,8:00 AM,10E-27L
THU,2:00 PM,10E-27L
SUN,2:00 PM,12F-31L
SAT,2:00 PM,10E-27L
SAT,2:00 PM,10E-27L
THU,2:00 PM,10E-27L
MON,8:00 AM,10E-27L
MON,8:00 AM,10E-27L
MON,11:00 AM,10E-27L
MON,11:00 AM,10E-27L
WED,11:00 AM,12F-32L
WED,11:00 AM,12F-32L
WED,2:00 PM,12F-31L
WED,2:00 PM,12F-31L
TUE,2:00 PM,10E-27L
TUE,2:00 PM,10E-27L
THU,11:00 AM,FT11-03L
MON,2:00 PM,12F-30L
MON,8:00 AM,12F-30L
TUE,11:00 AM,09F-27L
TUE,2:00 PM,09F-27L
MON,11:00 AM,12F-30L
TUE,8:00 AM,09E-22L
TUE,8:00 AM,09B-08L
MON,2:00 PM,09F-26L
MON,8:00 AM,09F-25L
TUE,8:00 AM,12F-30L
THU,2:00 PM,09F-24L
TUE,2:00 PM,09F-24L
WED,11:00 AM,10E-27L
TUE,11:00 AM,12F-30L
TUE,11:00 AM,12F-30L
SAT,11:00 AM,12F-30L
SAT,11:00 AM,12F-30L
THU,11:00 AM,10E-27L
TUE,2:00 PM,09E-22L
WED,8:00 AM,09F-27L
MON,2:00 PM,09F-24L
MON,2:00 PM,10G-32L
MON,11:00 AM,10G-33L
SUN,2:00 PM,10G-32L
THU,11:00 AM,09F-24L
SAT,8:00 AM,09E-21L
TUE,11:00 AM,09F-24L
TUE,2:00 PM,09F-26L
SAT,2:00 PM,09E-21L
SAT,8:00 AM,10G-32L
SAT,2:00 PM,10G-32L
THU,11:00 AM,10G-32L
THU,2:00 PM,10G-32L
SUN,11:00 AM,10G-32L
MON,11:00 AM,10G-32L
TUE,2:00 PM,10G-32L
WED,8:00 AM,10G-32L
MON,8:00 AM,10G-32L
SAT,2:00 PM,12D-27L
THU,8:00 AM,09F-26L
THU,11:00 AM,09F-26L
SAT,11:00 AM,09F-26L
SAT,2:00 PM,09F-26L
SAT,8:00 AM,09F-26L
SUN,2:00 PM,09E-21L
SUN,8:00 AM,10G-32L
MON,11:00 AM,09F-27L
TUE,8:00 AM,09F-26L
TUE,11:00 AM,09F-26L
WED,11:00 AM,10G-32L
WED,2:00 PM,10G-32L
TUE,2:00 PM,12F-30L
THU,8:00 AM,09F-24L
THU,11:00 AM,09B-09L
SUN,2:00 PM,FT11-04L
MON,11:00 AM,FT11-03L
